scheme,replicate,k,bootstrap_n,n_components,ari_vs_baseline,matched_jaccard_vs_baseline,silhouette
household_bootstrap,22,2,5605,9,0.9660267201950673,0.9828008482440314,0.15046815302726754
household_bootstrap,22,3,5605,9,0.936199998143338,0.9497145712550702,0.13002494920609678
household_bootstrap,22,4,5605,9,0.42658521640476693,0.5975943084269997,0.11845186720908024
household_bootstrap,22,5,5605,9,0.8734673178157918,0.8928452683538011,0.11951010138663756
household_bootstrap,22,6,5605,9,0.9043839287488911,0.911536037778363,0.12139358794156192
household_bootstrap,22,7,5605,9,0.586767973099473,0.634117380092043,0.1202350271459528
household_bootstrap,22,8,5605,9,0.8809029392629983,0.8795993007596667,0.12489276617516737
household_bootstrap,23,2,5605,9,0.9257555143390277,0.9623527389516433,0.16281353546554242
household_bootstrap,23,3,5605,9,0.22966495089705039,0.3602700553611518,0.1334203084683158
household_bootstrap,23,4,5605,9,0.44956576400635007,0.6139183065722638,0.12663631331413283
household_bootstrap,23,5,5605,9,0.9591736489314308,0.9616685839093982,0.1293444699776447
household_bootstrap,23,6,5605,9,0.941560514202113,0.9300196824772264,0.12835389631568092
household_bootstrap,23,7,5605,9,0.9227777183638675,0.9197354215861997,0.12320648963251844
household_bootstrap,23,8,5605,9,0.689703426888335,0.6904069313727205,0.12023656549145574
household_bootstrap,24,2,5605,9,0.9478672069570179,0.9735633751534,0.15809034194536797
household_bootstrap,24,3,5605,9,0.9485978766959319,0.9593040293189526,0.13421900482711582
household_bootstrap,24,4,5605,9,0.9288130325934669,0.9373590239671098,0.12894480905725997
household_bootstrap,24,5,5605,9,0.8979602328784355,0.9037810548534093,0.12991154482562225
household_bootstrap,24,6,5605,9,0.9144565394957096,0.9020508899064014,0.13247625104371577
household_bootstrap,24,7,5605,9,0.4281093731746748,0.5610646446882558,0.12053277971546034
household_bootstrap,24,8,5605,9,0.6926658753204078,0.6893749090800447,0.13123620539690709
household_bootstrap,25,2,5605,9,0.975874615855547,0.9877792480635572,0.1491729344880755
household_bootstrap,25,3,5605,9,0.23147798677193218,0.36203066273933465,0.12929266923903288
household_bootstrap,25,4,5605,9,0.3780478088912534,0.5417993067120086,0.11833074545426682
household_bootstrap,25,5,5605,9,0.8894144906354884,0.9006177070015106,0.11816285567342967
household_bootstrap,25,6,5605,9,0.5231856019555843,0.5405803509791884,0.11839703482950387
household_bootstrap,25,7,5605,9,0.34647718110812115,0.4366413199037637,0.12089487986216316
household_bootstrap,25,8,5605,9,0.8270874154977595,0.8448997924383861,0.12694021191349747
household_bootstrap,26,2,5605,9,0.9450903063688685,0.9721801521451472,0.1576150501733942
household_bootstrap,26,3,5605,9,0.9343167099168325,0.9504535807797154,0.13129653016911738
household_bootstrap,26,4,5605,9,0.8769232970087848,0.8948896299064554,0.12999134930942607
household_bootstrap,26,5,5605,9,0.9288984293034506,0.9230925454439418,0.13310738576823358
household_bootstrap,26,6,5605,9,0.6927917282232215,0.641549265143587,0.1267717341007525
household_bootstrap,26,7,5605,9,0.5000994723460075,0.573951884267955,0.12462483648348227
household_bootstrap,26,8,5605,9,0.912128406255198,0.9100673376023461,0.1310981766665303
household_bootstrap,27,2,5605,9,0.9765803947537369,0.9881447526126543,0.15446161941435457
household_bootstrap,27,3,5605,9,0.9538588841693568,0.9642387758590617,0.13099936197483067
household_bootstrap,27,4,5605,9,0.4180425792692241,0.5932719674502331,0.127329491853903
household_bootstrap,27,5,5605,9,0.7794768045583652,0.8022195733445034,0.13030906222195782
household_bootstrap,27,6,5605,9,0.7596225493164245,0.6925017165957823,0.12722924744541586
household_bootstrap,27,7,5605,9,0.3504034836191228,0.43666147908755765,0.11997008166824999
household_bootstrap,27,8,5605,9,0.6905085390945215,0.6963962889189061,0.13250940737565486
household_bootstrap,28,2,5605,9,0.9471772792672342,0.9733113442198824,0.15159265817163503
household_bootstrap,28,3,5605,9,0.9451063690608761,0.9562269153144302,0.1289379239623364
household_bootstrap,28,4,5605,9,0.3734637320201956,0.5333516859491899,0.11999234621979486
household_bootstrap,28,5,5605,9,0.9284162147795777,0.9327907887643638,0.12135788751484028
household_bootstrap,28,6,5605,9,0.7185205914504668,0.6613177278430772,0.12396797132501146
household_bootstrap,28,7,5605,9,0.9083774278402247,0.9048172297566899,0.12763079813448666
household_bootstrap,28,8,5605,9,0.7248129843618409,0.6945596935648871,0.1283103938038126
household_bootstrap,29,2,5605,9,0.9702415228851576,0.9849391722240779,0.15070039481334715
household_bootstrap,29,3,5605,9,0.23403686298694812,0.3639456130316255,0.12616427551130385
household_bootstrap,29,4,5605,9,0.9391236468483377,0.9552229091941625,0.13053553771283732
household_bootstrap,29,5,5605,9,0.39206151606021467,0.4928593984407284,0.11511656582125321
household_bootstrap,29,6,5605,9,0.9216213126949737,0.9234759859291367,0.13270133681102003
household_bootstrap,29,7,5605,9,0.6242483201330998,0.6776905111812678,0.1311630721832899
household_bootstrap,29,8,5605,9,0.9294800668332209,0.9331701671767227,0.13134172050059736
