hhid2,a10,a11,a13,a14,a15,a23,flood_affected,flood_depth_ft_mean,clim_aus_wind_avg,clim_aman_wind_avg,clim_boro_wind_avg,clim_aus_evapotrans_avg,clim_aman_evapotrans_avg,clim_boro_evapotrans_avg,n_occ_agri_own,n_occ_agri_labour,dependency_ratio,hh_size,mealdays_total_7d,income_per_capita_monthly,mean_edu_years_adults,adult_literacy_rate,livelihood_diversity,any_nonfarm_agri_work,land_cultivable_decimal,has_current_loan,agricultural_occupation_dependence,meals_per_person_week,seasonal_wind_avg,seasonal_evapotranspiration_avg,has_current_loan_binary,adult_illiteracy_rate,flood_affected_norm,flood_depth_ft_mean_norm,seasonal_wind_avg_norm,seasonal_evapotranspiration_avg_norm,agricultural_occupation_dependence_norm,dependency_ratio_norm,hh_size_norm,meals_per_person_week_norm,income_per_capita_monthly_norm,mean_edu_years_adults_norm,adult_illiteracy_rate_norm,livelihood_diversity_norm,any_nonfarm_agri_work_norm,land_cultivable_decimal_norm,has_current_loan_binary_norm,exposure_score,exposure_n_indicators,sensitivity_score,sensitivity_n_indicators,adaptive_capacity_vulnerability_score,adaptive_capacity_vulnerability_n_indicators,LVI,cluster_kmeans,cluster_ward,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,cluster_name
1006,3.0,3.0,1.0,1.0,1.0,5.0,1,1.75,3.630623655913978,2.8899913978494625,2.459298771121351,3.510221505376344,4.57770752688172,2.8110319508448542,1.0,0.0,0.6666666666666666,5.0,39.0,1730.0,6.0,0.25,1.0,0,136.0,1.0,1.0,7.8,2.993304608294931,3.632986994367639,1.0,0.25,1.0,0.0833333333333333,0.6949868266294685,0.421989201088664,0.1666666666666666,0.1111111111111111,0.2352941176470588,0.7947368421052632,0.8616,0.6470588235294118,0.25,0.75,1.0,0.7252525252525253,0.0,0.5500773402628665,4,0.3269521843825249,4,0.6048444783974196,7,0.4939580010142703,2,2,-1.3410579606836783,-0.21029255589840612,0.23186586044130159,-0.1044755423951824,0.7400950342228937,-0.4441803979105222,0.3238313165903164,0.763075047191604,0.3528096941963314,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)"
1007.1,3.0,3.0,1.0,1.0,1.0,3.0,1,1.0,3.630623655913978,2.8899913978494625,2.459298771121351,3.510221505376344,4.57770752688172,2.8110319508448542,1.0,0.0,0.5,3.0,33.0,2250.0,3.333333333333333,0.3333333333333333,2.0,1,83.0,1.0,1.0,11.0,2.993304608294931,3.632986994367639,1.0,0.3333333333333333,1.0,0.0476190476190476,0.6949868266294685,0.421989201088664,0.1666666666666666,0.0833333333333333,0.1176470588235294,0.7105263157894737,0.82,0.803921568627451,0.3333333333333333,0.5,0.0,0.8323232323232324,0.0,0.5411487688342951,4,0.2695433436532508,4,0.4699397334691452,7,0.4268772819855637,2,2,-1.7953381376352395,-1.3791945323273607,2.0155684242171055,0.03807314240667294,0.06104744179174679,-0.9476113445933082,-1.2734022398048304,0.35747675979351956,0.3669458880557113,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)"
1007.2,1.0,1.0,1.0,1.0,1.0,3.0,1,1.625,3.630623655913978,2.8899913978494625,2.459298771121351,3.510221505376344,4.57770752688172,2.8110319508448542,0.0,1.0,2.0,3.0,21.0,3750.0,0.0,0.5,1.0,0,5.0,2.0,1.0,7.0,2.993304608294931,3.632986994367639,0.0,0.5,1.0,0.0773809523809523,0.6949868266294685,0.421989201088664,0.1666666666666666,0.3333333333333333,0.1176470588235294,0.8157894736842105,0.7,1.0,0.5,0.75,1.0,0.98989898989899,1.0,0.5485892450247712,4,0.358359133126935,4,0.8485569985569985,7,0.5851684589029016,2,2,0.19493486251150652,0.5862485967515936,2.1218134257230457,0.2489993454137016,1.1723902955123953,0.8864764165606638,0.5250760978112157,0.8282911899486484,-1.279987917535789,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)"
1008,4.0,4.0,1.0,1.0,1.0,3.0,1,0.5,3.630623655913978,2.8899913978494625,2.459298771121351,3.510221505376344,4.57770752688172,2.8110319508448542,0.0,0.0,0.5,3.0,21.0,2100.0,6.5,0.0,0.0,0,0.0,2.0,0.0,7.0,2.993304608294931,3.632986994367639,0.0,0.0,1.0,0.0238095238095238,0.6949868266294685,0.421989201088664,0.0,0.0833333333333333,0.1176470588235294,0.8157894736842105,0.832,0.6176470588235294,0.0,1.0,1.0,1.0,1.0,0.535196387881914,4,0.2541924664602683,4,0.7785210084033614,7,0.5226366209151813,1,2,1.2297598899634428,-0.9246892373950057,-0.5272736576061899,-1.1467156195311405,1.016133720375019,1.423018530706795,0.335760163268008,0.047533129889746596,0.06926522189439432,"off-farm, single-livelihood, flood-spared (average-LVI)"
1009,3.0,3.0,1.0,1.0,1.0,3.0,1,2.0,3.630623655913978,2.8899913978494625,2.459298771121351,3.510221505376344,4.57770752688172,2.8110319508448542,0.0,0.0,0.5,3.0,21.0,2666.6666666666665,5.5,0.0,0.0,0,0.0,2.0,0.0,7.0,2.993304608294931,3.632986994367639,0.0,0.0,1.0,0.0952380952380952,0.6949868266294685,0.421989201088664,0.0,0.0833333333333333,0.1176470588235294,0.8157894736842105,0.7866666666666667,0.6764705882352942,0.0,1.0,1.0,1.0,1.0,0.5530535307390569,4,0.2541924664602683,4,0.7804481792717086,7,0.5292313921570113,1,2,0.9597966068060148,-0.699850927849412,-0.33839208446114827,-1.4470714781406697,1.0527828023801202,1.3169611834724058,0.5978853421601273,-0.05022785180925344,-0.13797389873791893,"off-farm, single-livelihood, flood-spared (average-LVI)"
101,1.0,1.0,1.0,1.0,1.0,5.0,1,1.25,3.630623655913978,2.8899913978494625,2.459298771121351,3.510221505376344,4.57770752688172,2.8110319508448542,0.0,1.0,0.6666666666666666,5.0,42.0,1600.0,5.0,0.0,1.0,0,17.0,1.0,1.0,8.4,2.993304608294931,3.632986994367639,1.0,0.0,1.0,0.0595238095238095,0.6949868266294685,0.421989201088664,0.1666666666666666,0.1111111111111111,0.2352941176470588,0.7789473684210527,0.872,0.7058823529411765,0.0,0.75,1.0,0.9656565656565655,0.0,0.5441249593104855,4,0.3230048159614723,4,0.6133627026568202,7,0.4934974926429261,2,2,-0.7491210498794361,-0.4786635576508712,-0.052799040242050295,0.04772618176140672,0.6491799926338371,-0.6476871887729716,0.25622197631423127,1.182912807641096,0.8852794329093076,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)"
1010,1.0,1.0,1.0,1.0,1.0,5.0,0,0.0,3.630623655913978,2.8899913978494625,2.459298771121351,3.510221505376344,4.57770752688172,2.8110319508448542,0.0,1.0,1.5,5.0,35.0,2286.6,3.333333333333333,0.3333333333333333,1.0,0,0.0,2.0,1.0,7.0,2.993304608294931,3.632986994367639,0.0,0.3333333333333333,0.0,0.0,0.6949868266294685,0.421989201088664,0.1666666666666666,0.25,0.2352941176470588,0.8157894736842105,0.817072,0.803921568627451,0.3333333333333333,0.75,1.0,1.0,1.0,0.2792440069295331,4,0.366937564499484,4,0.814903843137255,7,0.4870284715220907,1,1,0.8528878547922001,-0.04510352592960877,0.9398520304271022,1.5960443712999366,0.4925357608224566,1.2572021045859385,-0.1360683801778824,1.2809398711972475,-0.43089496544456385,"off-farm, single-livelihood, flood-spared (average-LVI)"
1011,1.0,1.0,1.0,1.0,1.0,10.0,1,1.4285714285714286,3.630623655913978,2.8899913978494625,2.459298771121351,3.510221505376344,4.57770752688172,2.8110319508448542,0.0,0.0,1.0,10.0,80.0,1970.0,8.714285714285714,0.0,1.0,1,231.0,1.0,0.0,8.0,2.993304608294931,3.632986994367639,1.0,0.0,1.0,0.0680272108843537,0.6949868266294685,0.421989201088664,0.0,0.1666666666666666,0.5294117647058824,0.7894736842105263,0.8424,0.4873949579831933,0.0,0.75,0.0,0.5333333333333333,0.0,0.5462508096506216,4,0.3713880288957688,4,0.3733040416166466,7,0.4303142933876789,2,2,-2.681258997609945,-0.4620009089847555,-1.8571192122547826,1.141305277372444,1.2692620796327305,-0.43519615196620126,-1.3388826260422972,-0.4186940093184984,-0.6666674728377973,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)"
1012,1.0,1.0,1.0,1.0,1.0,3.0,1,1.0,3.630623655913978,2.8899913978494625,2.459298771121351,3.510221505376344,4.57770752688172,2.8110319508448542,0.0,1.0,0.0,3.0,28.0,4743.333333333333,6.666666666666667,0.0,1.0,0,65.0,1.0,1.0,9.333333333333334,2.993304608294931,3.632986994367639,1.0,0.0,1.0,0.0476190476190476,0.6949868266294685,0.421989201088664,0.1666666666666666,0.0,0.1176470588235294,0.7543859649122806,0.6205333333333334,0.6078431372549019,0.0,0.75,1.0,0.8686868686868687,0.0,0.5411487688342951,4,0.2596749226006192,4,0.5495804770393006,7,0.4501347228247382,2,2,-0.9532972567758218,-1.7812693854842863,0.12873674556525483,-0.8844675524352715,-0.3483792312473117,-0.5615420719045328,0.5350852085365524,0.9079746956474772,0.37222423061541277,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)"
1013,1.0,1.0,1.0,1.0,1.0,6.0,1,1.6666666666666667,3.630623655913978,2.8899913978494625,2.459298771121351,3.510221505376344,4.57770752688172,2.8110319508448542,0.0,0.0,0.5,6.0,42.0,6250.0,7.6,0.2,1.0,1,249.0,1.0,0.0,7.0,2.993304608294931,3.632986994367639,1.0,0.2,1.0,0.0793650793650793,0.6949868266294685,0.421989201088664,0.0,0.0833333333333333,0.2941176470588235,0.8157894736842105,0.5,0.5529411764705883,0.2,0.75,0.0,0.4969696969696969,0.0,0.549085276770803,4,0.2983101135190918,4,0.3571301247771836,7,0.4015085050223594,2,2,-2.42265418454888,-1.5365229725502072,-0.6302552679856249,0.22205583139251125,0.3580018711852744,-0.298392201806719,-0.0987367067400028,-1.4521738305703638,-1.4968325673134568,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)"
